순위,도서명,저자,출판사,정가,판매가
59,2026 해커스 전산회계 1급 3주 합격 이론+실무+최신기출 12회분+무료특강,이남호,해커스금융,31000,27900
60,바로바로 제미나이 X 구글 AI,공냥이,골든래빗(주),24000,21600
61,2026 시나공 정보처리기사 필기 총정리,길벗알앤디,길벗,29000,26100
62,2026 수제비 정보처리기사 필기 기출문제집,윤영빈 외,수제비출판사,22000,19800
63,2026 수제비 정보보안기사 필기 기본서,윤영빈 외,수제비출판사,40000,36000
64,2026 시나공 컴퓨터활용능력 2급 필기 총정리,길벗알앤디,길벗,16000,14400
65,2026 퀵패스 AI-POT AI 프롬프트 활용능력 1급,AI 프롬프트 활용능력 연구소 외,퀵패스,30000,27000
66,혼자 공부하는 머신러닝+딥러닝,박해선,한빛미디어,32000,28800
67,"제미나이, 저는 이렇게 쓰고 있어요",최소영,길벗,18800,16920
68,진짜 쓰는 프리미어 영상 편집(2026),조블리(조애리),제이펍,26000,23400
69,바이브 코더를 위한 최소한의 AI/IT 지식,클리커 외,한빛미디어,22000,19800
70,2026 이기적 리눅스마스터 2급(1·2차) 기본서,권소라,영진닷컴,28000,25200
71,2026 시나공 정보처리산업기사 필기 기본서,길벗알앤디,길벗,30000,27000
72,아키텍처는 진화한다,공상휘,인사이트,28000,25200
73,코덱스 완벽 가이드,윤재원(단테),골든래빗(주),28000,25200
74,2026 이기적 사무자동화산업기사 필기 절대족보,신면철 외,영진닷컴,20000,18000
75,2026 시나공 컴퓨터활용능력 1급 필기 총정리,길벗알앤디,길벗,22000,19800
76,혼자 공부하는 컴퓨터 구조+운영체제,강민철,한빛미디어,28000,25200
77,AI 에이전트 실행 세계 1: 원리편,조쉬(이주환),로드북,30000,27000
78,AI가 다 하고 내가 돈 버는 앱 만들기,서희찬,길벗,28000,25200
79,2026 에듀윌 AI능력시험 AICE ASSOCIATE 한권끝장,박강민 외,에듀윌,33000,29700
80,회사에서 바로 통하는 실무 엑셀 파워포인트 워드&한글,전미진 외,한빛미디어,27000,24300
81,슬기로운 교사 생활 캔바 AI 수업 활용법,미나리쌤,골든래빗(주),23800,21420
82,테디노트의 LangGraph 에이전트 비법노트,이경록 외,리코멘드,34000,30600
83,그림으로 이해하는 IT 인프라 구조와 기술,츠루나가 신이치 외,길벗,22000,19800
84,2026 에듀윌 전산세무 1급 한권끝장 이론+실무+최신기출+무료특강,박진혁,에듀윌,38000,34200
85,된다! 스레드 활용법,거북이걸음,이지스퍼블리싱,22000,19800
86,요즘 교사를 위한 AI 바이브 코딩 활용 가이드 with 2022 개정 교육과정,공지훈 외,한빛미디어,22000,19800
87,친절한 SQL 튜닝,조시형,디비안(주)(DBian),38000,34200
88,AI 영상 제작,문수민 외,길벗,27000,24300
89,시나공 AI 능력시험 AICE ASSOCIATE(2027),서길원 외,길벗,35000,31500
90,미야모토 시게루의 게임론,제니퍼 드윈터 외,에이케이커뮤니케이션즈,19800,17820
91,원하는 대로 튜닝하는 나만의 sLLM,오지영,길벗,34000,30600
92,클로드 코워크 시작하기,조남경,비엘북스,28000,25200
93,AI 에이전트 실행 세계 2: 설계편,조쉬(이주환),로드북,35000,31500
94,2026 시나공 정보처리기사 실기 기본서,길벗알앤디 외,길벗,40000,36000
95,시나공 사무자동화산업기사 필기 총정리,길벗알앤디,길벗,20000,18000
96,2026 이기적 정보보안기사 필기+실기 올인원,임호진,영진닷컴,49000,44100
97,2026 해커스 전산회계 2급 2주 합격 이론+실무+최신기출 15회분+무료특강,이남호,해커스금융,24000,21600
98,스레드 운영법,이동영,한빛미디어,20000,18000
99,2026 시나공 컴퓨터활용능력 1급 실기 기본서,"길벗알앤디(강윤석, 김용갑, 김우경, 김종일)",길벗,40000,36000
100,된다! 조회수 터지는 유튜브 쇼츠 만들기,최지영,이지스퍼블리싱,22000,19800
