순위,도서명,저자,출판사,정가,판매가
301,권학봉의 포토샵&라이트룸 클래식 사진보정 강의,권학봉,황금부엉이,49500,44550
302,Do it! C++ 완전 정복,조규남 외,이지스퍼블리싱,32000,28800
303,파이썬 라이브러리를 활용한 데이터 분석,웨스 맥키니 외,한빛미디어,39000,35100
304,회사는 엑셀을 가르쳐주지 않아요,쏘피(박성희),메가스터디북스,18000,16200
305,코딩 자율학습 HTML + CSS + 자바스크립트,김기수,길벗,27000,24300
306,파이썬 머신러닝 완벽 가이드,권철민,위키북스,40000,36000
307,ROS 2로 시작하는 로봇 프로그래밍,표윤석 외,루비페이퍼,32000,28800
308,밑바닥부터 시작하는 딥러닝 2,사이토 고키 외,한빛미디어,29000,26100
309,인스파이어드,마티 케이건 외,제이펍,24000,21600
310,초보자를 위한 파이썬(Python) 200제,장삼용,정보문화사,20000,18000
311,소프트웨어 테스팅 실무,권원일 외,STA,28000,25200
312,2027 유선배 AI 프롬프트활용능력 AI-POT 1·2급 핵심요약+기출변형+무료강의,홍진아,시대에듀,29000,26100
313,이게 되네? 엑셀 AI 미친 활용법 100제,직트키,골든래빗(주),22000,19800
314,슬기쌤의 전산세무1급 법인세편 핵심이론 및 실무(최신 기출문제 포함),유슬기,오스틴북스,30000,27000
315,처음이야? 파이썬 데이터 모델링&머신러닝,윤영빈 외,영진닷컴,25000,22500
316,2027 이기적 GTQ 일러스트 1급 기본서 ver.CC,박은영,영진닷컴,26000,23400
317,2027 이기적 ITQ 엑셀 ver.2021,영진정보연구소,영진닷컴,17000,15300
318,2027 백발백중 ITQ 한글 2022,한정수 외,성안당,19000,17100
319,혼자 해도 프로 선생님처럼 잘 만드는 학교 수업 자료 with 제미나이,김태훈 외,한빛미디어,22000,19800
320,AI 생존 지도,이석현,여림재,20000,18000
321,2026 시대에듀 유선배 경영정보시각화능력 실기(Power BI) 합격노트,어니언비아이,시대에듀,35000,31500
322,Do it! 유니티 6로 게임 제작 & 출시하기,고정운,이지스퍼블리싱,36000,32400
323,AI 대세전환 안티그래비티 × 바이브 코딩 압도적 업무 역량,정용범 외,프리렉,30000,27000
324,Node.js + NestJS 교과서,조현영,길벗,40000,36000
325,AI 시대의 빅데이터 사고방식,김진철,페스트북,25000,22500
326,트랜스포머 아키텍처로 배우는 AI 에이전트 with 랭체인 & 랭그래프,장철원,한빛미디어,39000,35100
327,요즘 바이브 코딩 커서 X 클로드 코드 실전 외주 돈 벌기,불혹코딩,골든래빗(주),26000,23400
328,맛있는 디자인 포토샵 CC 2026,윤이사라,한빛미디어,26000,23400
329,스프링 부트 4 개발자 되기 + AI: 자바 편,신선영,골든래빗(주),34000,30600
330,AICE ASSOCIATE 실전대비서,조우연,코딩엑스,25000,22500
331,"된다! 제미나이, 클로드, 챗GPT AI 챗봇 만들기",이재윤 외,이지스퍼블리싱,21000,18900
332,요즘 교사를 위한 에듀테크 수업 활용 가이드 with 2022 개정 교육과정,박진환 외,한빛미디어,24000,21600
333,된다! AI 상위 노출,이중대,이지스퍼블리싱,19000,17100
334,"오픈클로 with GPT, 제미나이, 클로드",강민혁,한빛미디어,22000,19800
335,누구나 아는 나만 모르는 챗GPT: 세상에서 가장 쉬운 챗GPT & AI 입문서,누나IT(이성원),한빛미디어,19000,17100
336,어르신들을 위한 스마트폰 기초 교실,디지털콘텐츠그룹 편집부,디지털콘텐츠그룹,16000,14400
337,2026 시나공 정보처리기사 실기 기출문제집,길벗알앤디,길벗,23000,20700
338,요즘 바이브 코딩 안티그래비티 완벽 가이드,최지호(코드팩토리),골든래빗(주),28000,25200
339,포토샵 & 일러스트레이터 & 인디자인 CC 2026,김경미 외,생능북스,25000,22500
340,2026 흥달쌤의 정보처리기사 실기 세트,이흥직,에듀콕스,40000,36000
341,2026 이기적 컴퓨터활용능력 1급 필기 절대족보,홍태성 외,영진닷컴,22000,19800
342,이게 되네? AI 쇼츠 만들기 미친 자동화 22제,천은영,골든래빗(주),26000,23400
343,2026 이기적 컴퓨터활용능력 1급 필기 기출 1200제,영진정보연구소,영진닷컴,17000,15300
344,2026 이공자 ITQ 파워포인트 2021(좌무선),KIE기획연구실 외,아카데미소프트,17000,15300
345,파이썬으로 시작하는 데이터 분석,강지영,아이리포,27000,24300
346,요즘 개발자를 위한 시스템 설계 수업,디렌드라 신하 외,길벗,35000,31500
347,된다! 미리캔버스&캔바 디자인 수업,방구석 다람쥐(배가을),이지스퍼블리싱,24000,21600
348,요즘 바이브 코딩 클로드 코드 완벽 가이드,최지호(코드팩토리),골든래빗(주),24000,21600
349,교사를 위한 실무 한글: 학교 업무 효율성 높이는 66제,한동규,앤써북,17700,15930
350,2026 시대에듀 60kim쌤의 멀티미디어콘텐츠 제작전문가 필기 공부 끝,김유경,시대고시기획,25000,22500
351,요즘 교사를 위한 AI 디지털 수업 설계 가이드 with 2022 개정 교육과정,김진관 외,한빛미디어,22000,19800
352,데이터 삽질 끝에 UX가 보였다,이미진(란란),한빛미디어,26000,23400
353,디자인 트렌드 아카이브 포토샵 & 일러스트레이터,김혜주(시크아),제이펍,24000,21600
354,시노비가미 유파북 쿠라마신류,카와시마 토이치로 외,티알피지클럽(TRPG CLUB),20000,20000
355,파인만의 컴퓨터 강의,리처드 파인만 외,한빛미디어,29000,26100
356,회사에서 바로 통하는 실무 엑셀,한은숙,한빛미디어,23000,20700
357,시노비가미 유파북 히라사카 기관,카와시마 토이치로 외,티알피지클럽(TRPG CLUB),20000,20000
358,마법 같은 영상 제작을 위한 스마트폰 촬영 및 편집 with 캡컷,롱제이,시프트,23000,20700
359,처음 시작하는 디지털 드로잉 with 스케치북,이은지(꿀디쌤),시대인,19000,17100
360,이게 되네? 챗GPT 미친 활용법 71제,오힘찬,골든래빗(주),24000,21600
361,한 권으로 배우는 게임 프로그래밍,박태준 외,한빛미디어,28000,25200
362,2025 수제비 정보처리산업기사 필기,윤영빈 외,건기원,27000,24300
363,"엑셀마왕의 엑셀 이럴 땐, 이렇게!",엑셀마왕(임규범),길벗,20000,18000
364,오토캐드 40시간 완성,신동진,피앤피북,20000,18000
365,누구나 쉽게 캔바 Canva로 끝내는 콘텐츠 디자인,김민아(캔바 아몬드),제이펍,20000,18000
366,"CAT CAD 실무능력평가 1,2급 AutoCAD",홍성기 외,성안당,25000,22500
367,그림으로 이해하는 네트워크 구조와 기술,나카오 신지 외,길벗,22000,19800
368,린 스타트업(10주년 기념판),애시 모리아 외,한빛미디어,24000,21600
369,오라클 성능 고도화 원리와 해법 2,조시형,디비안(주)(DBian),49000,49000
370,혼자 공부하는 SQL,우재남,한빛미디어,24000,21600
371,컨테이너 인프라 환경 구축을 위한 쿠버네티스/도커,조훈 외,길벗,34000,30600
372,데이터아키텍처 전문가 가이드,한국데이터산업진흥원,한국데이터산업진흥원,50000,50000
373,밑바닥부터 시작하는 딥러닝 3,사이토 고키 외,한빛미디어,38000,34200
374,오브젝트,조영호,위키북스,38000,34200
375,자료구조,천인국 외,생능출판,29000,29000
376,데이타베이스 시스템,이석호,정익사,36000,32400
377,린 분석,앨리스테어 크롤 외,한빛미디어,28000,25200
378,초간단 캡컷 AI 영상 편집,이용태,책바세,22000,19800
379,예제가 가득한 코파일럿 길라잡이,이승우,정보문화사,16800,15120
380,AI 대세전환 노션Notion X AI 압도적 업무 생산성,지니언트,프리렉,28000,25200
381,나는 AI 에이전트 팀과 일한다,박현아,제이펍,26000,23400
382,모듈로 배우는 머신러닝,정상근,한빛아카데미,38000,34200
383,2027 이기적 전산회계 1급 기출문제집 570제,정창화,영진닷컴,19000,17100
384,생성형 AI 치트키,장미희,박문각,22000,19800
385,코딩 몰라도 시작하는 바이브 코딩,박인찬 외,혜지원,20000,18000
386,컴퓨터 왕기초(윈도우11&인터넷(엣지)&한글 2022&엑셀 2021&파워포인트 2021),OPIG 교재편찬팀,시대인,15000,13500
387,파이토치로 배우는 현대 인공지능,김태훈,한빛아카데미,34000,34000
388,AWS 교과서,김원일 외,길벗,38000,34200
389,교사의 시간 AI로 다시 쓰다,황영준 외,에듀윌,14000,12600
390,"그냥 따라하다 배우는, AI 3D 모델링",양영민,비엘북스,25000,22500
391,LUVIT EPL과 유튜브 데이터로 배우는 DuckDB,이기준,제이펍,30000,27000
392,2027 이기적 ITQ 한글 ver.2022,영진정보연구소,영진닷컴,18000,16200
393,메타스플로잇,데이비드 케네디 외,에이콘출판,34000,30600
394,Do it! 스프링 AI를 활용한 AI 에이전트 개발 입문,박매일,이지스퍼블리싱,34000,30600
395,다중 에이전트 시스템을 위한 컨텍스트 엔지니어링,데니스 로스먼 외,위키북스,32000,28800
396,처음 시작하는 바이브 코딩,KEITO 외,영진닷컴,20000,18000
397,이기적 GTQ-AI(그래픽기술자격 AI) 기본서,장수민,영진닷컴,29000,26100
398,된다! 하루 만에 준비하는 캔바 AI 수업 활용법,정인걸 외,이지스퍼블리싱,24000,21600
399,AX 에이전트 경영,황영오,미디어북,24000,24000
400,LLMOps 완벽 가이드,아비 아리안 외,한빛미디어,32000,28800
401,비개발자도 클로드 코드로 쉽게 만드는 AI 웹 서비스,최원재,위즈앤북(Wiznbook),25000,22500
402,코딩 자율학습 FastAPI 파이썬 백엔드 개발 입문,신동현,길벗,28000,25200
403,알고 나면 무조건 써먹는 실무 엑셀,정훈희,한빛미디어,23000,20700
404,이게 되네? 나노바나나 2 AI 비포&애프터 미친 활용법 82제,쌩초,골든래빗(주),24000,21600
405,맛있는 디자인 애프터 이펙트 CC 2026,이수정,한빛미디어,27000,24300
406,"애플, 파괴적 혁신의 시작",레인 누니 외,책만,26000,23400
407,그림으로 이해하는 AWS 구조와 기술,오가사와라 시게타카 외,길벗,26000,23400
408,"AI 리터러시 플러스: 인공지능 기본부터 도구 선택, 조합, 실전 활용까지",김용성,프리렉,25000,22500
409,2026 시대에듀 개인정보관리사 CPPG 한권으로 끝내기,시대개인정보관리사연구회,시대고시기획,38000,34200
410,"어쨌든, 에이전틱 코딩",코다프레스 외,인사이트,25000,22500
411,수업과 업무에 바로 적용하는 생성형 AI 활용 58제,임세범,앤써북,18800,16920
412,AI와 조직 문화,배득형 외,커뮤니케이션북스,12000,12000
413,학교에서 바로 쓰는 제미나이 & 노트북LM,손성호 외,학교도서관저널,19000,17100
414,바이브코딩 바이블,이유림,레코드나우,25000,22500
415,2026 원큐패스 3D프린터운용기능사 필기 실기(오토데스크 퓨전),박나래,다락원,32000,28800
416,돈이 들어오는 무재고 위탁판매 쇼핑몰,전진수,혜지원,17000,15300
417,2026 독공 전산회계 1급,공경태 외,박문각,28000,25200
418,일머리를 설계하는 AI 워크플로 with n8n,이왕석,한빛미디어,28000,25200
419,빅라플 ITQ 엑셀 2021,렉스수험서팀,렉스미디어,16000,14400
420,2026 독공 전산회계 2급,공경태 외,박문각,22000,19800
421,2026 이기적 경영정보시각화능력 필기 기본서,인천대 비즈니스데이터센터 외,영진닷컴,33000,29700
422,이기적 코딩활용능력 2급(3급 포함) 엔트리,최경희 외,영진닷컴,18000,16200
423,2026 이기적 컴퓨터그래픽기능사 실기 기본서,김경수 외,영진닷컴,32000,28800
424,네이버 블로그 역제안 가이드: 협찬 기회를 직접 만드는 마케터C의 역제안 시스템,마케터C(김명경),한빛미디어,22000,19800
425,왕초보 시니어도 쉽게 따라 하는 챗GPT 사용법,곽민철 외,생능북스,16800,15120
426,감각 있는 일잘러의 IT 지식,이원진 외,길벗,22000,19800
427,2026 해커스 정보처리기사 실기 한권합격 이론+최신기출,한미현 외,해커스자격증,37000,33300
428,2026 이기적 정보처리기사 필기 기본서,강희영 외,영진닷컴,35000,31500
429,2026 이기적 GTQ 포토샵+일러스트 1급 올인원(ver.CC),일마,영진닷컴,34000,30600
430,2026 로그인 전산회계 1급 기출문제집,김영철,어울림,16000,14400
431,2026 백발백중 ITQ 엑셀 2021,박윤정 외,성안당,19000,17100
432,2026 시대에듀 Win-Q 3D프린터운용기능사 필기 단기합격,김철희,시대고시기획,25000,22500
433,김변호사의 스마트한 AI 활용법 2,김변호사 팀 외,박영사,24000,24000
434,올라마와 오픈소스 LLM을 활용한 AI 에이전트 개발 입문,서영배 외,위키북스,28000,25200
435,AI 잘 쓰는 디자이너,전하린,이지스퍼블리싱,21000,18900
436,요즘 바이브 코딩 깃허브 코파일럿 31가지 프로그램 만들기,박현규,골든래빗(주),24000,21600
437,AI 리터러시,이선종 외,영진닷컴,22000,19800
438,일 잘하는 사람은 이렇게 챗GPT를 씁니다,장피엠(장병준),한빛미디어,24000,21600
439,연필과 종이로 풀어보는 AI 딥러닝 수학 워크북 214제,톰 예,아티오,19000,17100
440,언리얼 엔진으로 배우는 게임 디자인 패턴,스튜어트 버틀러 외,제이펍,27000,24300
441,"챗GPT, 저는 이렇게 쓰고 있어요",최소영,길벗,18800,16920
442,파이썬으로 시작하는 머신러닝+딥러닝,강지영,아이리포,28000,25200
443,그림과 실습으로 배우는 쿠버네티스 입문,타카하시 아오이 외,길벗,28000,25200
444,"리액트, Next.js로 완성하는 프론트엔드",강경석,영진닷컴,36000,32400
445,스타트업 서비스 설계는 처음인데요,강대명,더 타이즈,33000,29700
446,2026 ADsP 한 권으로 끝내기 with CorePrep 앱 세트,김계철,에이아이에듀,32000,28800
447,2026 ADsP 데이터 분석 자격검정 실전문제,김계철,에이아이에듀,16000,14400
448,된다! 네이버 스마트스토어,이경근,이지스퍼블리싱,24000,21600
449,Do it! 커서로 시작하는 AI 코딩 입문,고경희,이지스퍼블리싱,23000,20700
450,2026 에듀윌 컴퓨터활용능력 1급 필기 기본서,이상미 외,에듀윌,32000,28800
451,2026 이기적 ITQ OA Master 엑셀/파워포인트 ver.2021+한글 ver.2020 올인원,영진정보연구소,영진닷컴,30000,27000
452,2026 에듀윌 컴퓨터활용능력 2급 필기 기본서,이상미 외,에듀윌,22000,19800
453,Do it! 알고리즘 코딩 테스트: 파이썬 편,김종관,이지스퍼블리싱,35000,31500
454,코딩 자율학습 리액트 프런트엔드 개발 입문,김기수,길벗,42000,37800
455,시노비가미 유파북 하스바 인군,카와시마 토이치로 외,티알피지클럽(TRPG CLUB),20000,20000
456,딥러닝 제대로 이해하기,사이먼 J. D. 프린스 외,제이펍,38000,34200
457,2026 이기적 정보처리산업기사 필기+실기 올인원,강희영 외,영진닷컴,47000,42300
458,명품 C++ Programming,황기태,생능출판,34000,30600
459,잘 통하는 보고서 작성의 비밀,임영균,한빛미디어,20000,18000
460,된다! 하루 만에 끝내는 챗GPT 활용법,프롬프트 크리에이터,이지스퍼블리싱,20000,18000
461,픽셀 아트 마스터 컬렉션,ZiMA 외,에이케이커뮤니케이션즈,25500,22950
462,모던 소프트웨어 엔지니어링,데이비드 팔리 외,책만,28000,25200
463,플랫폼 엔지니어링,카미유 푸르니에 외,한빛미디어,32000,28800
464,한 권으로 끝내는 아두이노 입문+실전(종합편),서민우 외,앤써북,22000,19800
465,제품을 성공시키는 프로덕트 매니저의 비밀,곽나래,길벗,27000,24300
466,유틸리티와 함께하는 컴퓨터와 친구하기,해람북스 기획팀,해람북스(구 북스홀릭),10000,9000
467,띠웅의 타이포그래피 with 프로크리에이트,띠웅,다산스마트에듀,25000,22500
468,임종수의 STM32 Cortex-M 완벽 활용서 Vol. 1,임종수,버무림,43000,38700
469,인공지능이 다 해주는 브루 Vrew 영상 편집,지현이(디지털거북이) 외,시프트,20000,18000
470,그림으로 이해하는 시스템 설계,이시구로 나오키 외,길벗,22000,19800
471,데이터 분석가가 반드시 알아야 할 모든 것,황세웅,위키북스,38000,34200
472,디자인 구구단,에이핫,길벗,20000,18000
473,AI활용능력: AI상식,정화민 외,명진씨앤피,18000,16200
474,비전공자를 위한 이해할 수 있는 파이썬,최원영,티더블유아이지,24800,22320
475,따라하면 합격이다! CAT CAD실무능력평가 2급,주형권 외,엠듀,24000,21600
476,최고의 프롬프트 엔지니어링 강의,김진중,리코멘드,24000,21600
477,데브옵스 엔지니어를 위한 실전 관찰 가능성 엔지니어링,채리티 메이저 외,한빛미디어,32000,28800
478,Web·Programming·Git이 쉬워지는 Visual Studio Code 가이드,리브로웍스 외,영진닷컴,22000,19800
479,된다! 김메주의 유튜브 채널&영상 만들기,김혜주,이지스퍼블리싱,19000,17100
480,UX/UI의 10가지 심리학 법칙,존 야블론스키 외,책만,18000,16200
481,이것이 자바다,신용권 외,한빛미디어,38000,34200
482,블렌더 3D 입문,토모 외,위키북스,28000,25200
483,고도 엔진 4: 게임 개발 프로젝트,크리스 브래드필드 외,제이펍,29000,26100
484,컴퓨터 밑바닥의 비밀,루 샤오펑 외,길벗,33000,29700
485,실전! 러스트로 배우는 리눅스 커널 프로그래밍,김백기 외,위키북스,35000,31500
486,Rocky Linux8로 리눅스마스터 1급 정복하기,정성재 외,북스홀릭퍼블리싱,40000,36000
487,시나공 GTQ 포토샵 1급(ver.CC),길벗알앤디,길벗,25000,22500
488,Release의 모든 것,마이클 나이가드 외,한빛미디어,36000,32400
489,에듀윌 EXIT GTQ 포토샵 1급 ver.CC,김부치,에듀윌,22000,19800
490,"Yocto, 쉽게 이해하고 깊게 다루기",조운래,에이콘출판,45000,40500
491,상상을 실현하는 로블록스 게임 만들기,강태훈 외,한빛미디어,22000,19800
492,파이썬 크래시 코스,에릭 마테스 외,한빛미디어,39000,35100
493,이것이 C#이다,박상현,한빛미디어,36000,32400
494,인공지능,천인국,인피니티북스,33000,33000
495,파이썬 코딩 도장,남재윤,길벗,30000,27000
496,데이터센터 인사이드 + 아웃,조진균 외,문운당,30000,30000
497,윈도우 11 무작정 따라하기 에센셜북,고경희,길벗,22000,19800
498,코딩 자율학습 나도코딩의 C 언어 입문,나도코딩,길벗,26000,23400
499,픽스호크 드론의 정석,공현철 외,성안당,35000,31500
500,엑셀 바이블,최준선,한빛미디어,39000,35100
501,오라클 성능 고도화 원리와 해법 1,조시형,디비안(주)(DBian),39000,39000
502,무조건 돈 버는 카카오 이모티콘 만들기,김나무,중앙북스,17500,15750
503,파이썬 라이브러리를 활용한 머신러닝,안드레아스 뮐러 외,한빛미디어,33000,29700
504,로블록스 게임 제작 점프맵 만들기,Nofair,디지털북스,20000,18000
505,컴퓨터 구조 및 설계,David A. Patterson 외,한티에듀,37000,37000
506,오늘도 개발자가 안 된다고 말했다,김중철 외,디지털북스,15000,13500
507,실무에 바로 쓰는 일잘러의 보고서 작성법,김마라,제이펍,18000,16200
508,된다! 포토샵 & 일러스트레이터,박길현 외,이지스퍼블리싱,22000,19800
509,바닥부터 배우는 강화 학습,노승은,영진닷컴,22000,19800
510,운영체제,Remzi H. Arpaci-Dusseau 외,도서출판 홍릉(홍릉과학출판사),39000,39000
511,실무 엑셀 매크로&VBA,김경자,한빛미디어,24000,21600
512,모두의 인공지능 기초 수학,서지영,길벗,25000,22500
513,디버깅을 통해 배우는 리눅스 커널의 구조와 원리 1,김동현,위키북스,35000,31500
514,클린 아키텍처: 소프트웨어 구조와 설계의 원칙,로버트 C. 마틴 외,인사이트,29000,26100
515,함께 자라기,김창준,인사이트,13000,11700
516,패턴 인식과 머신 러닝,크리스토퍼 비숍 외,제이펍,46000,41400
517,Mano의 컴퓨터시스템구조,M. Morris Mano 외,프로텍미디어,33000,32670
518,데이터아키텍처 자격검정 실전문제,한국데이터베이스진흥원,한국데이터산업진흥원,12000,12000
519,리버싱 핵심 원리,이승원,인사이트,48000,43200
520,2027 이기적 컴퓨터활용능력 2급 실기 기본서,박윤정,영진닷컴,23000,20700
521,SUNO(수노AI)로 무엇이든 만들 수 있다,김민구 외,광문각출판미디어,18000,16200
522,영상 사운드 편집과 복원(Audition+RX),최이진,노하우,39000,35100
523,AI 시대 경영과 굿 매니지먼트,이완형,커뮤니케이션북스,12000,10800
524,인공지능과 허위조작정보,최종선,커뮤니케이션북스,12000,12000
525,2026 슬기쌤의 전산세무 1급 재무회계등 핵심이론 및 실무,유슬기,오스틴북스,28000,25200
526,"누구나 성공하는 AI 비서, 오픈클로",박권 외,책밥,24000,21600
527,CISO의 시선으로 바라본 정보보안 실무,최재영,북랩,28000,25200
528,유아교사를 위한 AI 리터러시,오재연 외,동문사,24000,24000
529,2027 이기적 TOLIS 정보보호능력검정 기본서,김윤진 외,영진닷컴,36000,32400
530,AI 비즈니스 애널리틱스,방영석 외,한빛아카데미,38000,38000
531,실습으로 배우는 데이터 과학,윤태현 외,삼양미디어,25000,22500
532,2027 이기적 정보처리산업기사 실기 기본서,고소현 외,영진닷컴,32000,28800
533,데이터베이스 개론,김연희,한빛아카데미,30000,30000
534,칼만 필터의 이해 with MATLAB,김성필,한빛아카데미,30000,30000
535,혼자 해도 프로 선생님처럼 잘 설계하는 AI 자동화 교실,박창민 외,한빛미디어,23000,20700
536,2027 이기적 ITQ 엑셀 ver.2021,영진정보연구소,영진닷컴,18000,16200
537,챗GPT 업무 활용 마스터(2026),강승우,삼일인포마인,20000,20000
538,생성형 AI를 활용한 수학 수업용 웹 애플리케이션 개발,왕효원 외,지오북스,19000,17100
539,AutoCAD(오토캐드),정한철 외,구민사,29000,26100
540,AI도 모르는 글쓰기: 초안을 완성으로 바꾸는 AI 협업 글쓰기,정나래,한빛미디어,22000,19800
541,2027 박문각 국가공인 DEQ(디지털윤리자격) 지도사 공식인증교재,윤미선 외,박문각,22000,19800
542,AI 에이전트와 애플리케이션,로베르토 인판테 외,에이콘출판,40000,36000
543,공간 컴퓨팅: XR 인터랙션 디자인,박동윤,에이콘출판,34000,30600
544,디자이너를 위한 AI 디자인 크리에이티브 아트워크,NAKTA(정승용),제이펍,25000,22500
545,예제가 가득한 챗GPT with 클로드 길라잡이,이승우,정보문화사,16800,15120
546,디지털 혁신을 이끄는 정보화전략계획(ISP),이장영,좋은땅,65000,58500
547,엑셀 기초 실무 사용방법과 엑셀 기본 공부 책 교재보다 좋은 excel 함수 배우기 USB 강좌 추천 독학 교육,액션미디어 편집부,액션미디어,29800,26820
548,셀프프롬프트,전행진,퍼블리터,18500,16650
549,GitHub Copilot 채팅과 함께하는 SQL 튜닝 가이드,김성식 외,엑셈,40000,36000
550,AI 에이전트 개발과 운영 올인원 가이드,온다 미노루 외,제이펍,33000,29700
551,파이썬의 도구들,정국진,영진닷컴,24000,21600
552,평범한 일상을 특별하게 남기는 스마트폰 사진 & 보정,최은영,시대인,20000,18000
553,에이전틱 AI,이정헌,커뮤니케이션북스,12000,12000
554,2027 시나공 AI-POT AI 프롬프트활용능력 1급(2급 포함),김현정 외,길벗,27000,24300
555,유튜브 AI 비서 고용하기 제미나이 X 노트북LM X 구글 스프레드시트,조현정,골든래빗(주),24000,21600
556,오픈클로,오창근,생능북스,22000,19800
557,나는 왜 개발자 말이 어려울까?,이프로,경이로움,22000,19800
558,AI 시대 사수 없는 마케터의 질문 수업,이효정,리코멘드,22000,19800
559,최고의 n8n AI 자동화 강의,박정기,리코멘드,22000,19800
560,어디서든 유튜브 프로듀싱 with 아이패드 파이널 컷 프로 + AI,남시언,비제이퍼블릭,23000,20700
561,"함수형 설계, 객체 지향과 만나다",로버트 C. 마틴 외,인사이트,33000,29700
562,2026 에듀윌 AI-POT AI 프롬프트활용능력 2급 한권끝장,이성태 외,에듀윌,28000,25200
563,"베테랑 AI 전문가가 만든 가장 쉬운 그록 AI 활용! Grok(그록)으로 무엇이든 만들 수 있다 (AI 비서 · 영상 만들기, 유튜브 수익화)",이현 외,광문각출판미디어,19000,19000
564,2026 시대에듀 최신 출제유형이 적용된 전산회계운용사 2급 실기,박명희,시대고시기획,21000,18900
565,스토리 엔지니어링,김우정,생능북스,16800,15120
566,그림으로 배우는 리눅스,카와노 고토부키 외,영진닷컴,20000,18000
567,처음 만나는 AI 에이전트 with 랭체인 & MCP,김재엽 외,제이펍,30000,27000
568,LangGraph로 만드는 AI 에이전트 서비스,전상우 외,성안당,29000,26100
569,코딩 자율학습 나도코딩의 자바 입문,나도코딩,길벗,29000,26100
570,몰입을 설계하는 게임 기획,쉬웨이훙 외,제이펍,28000,25200
571,다시 찾는 디지털 서비스를 만드는 8가지 법칙,권혜민,제이펍,20000,18000
572,AI와 특수교육,김호연,커뮤니케이션북스,12000,12000
573,AI와 문학의 장,박준형,커뮤니케이션북스,12000,12000
574,큐베이스 15,최이진,노하우,33000,29700
575,2026 독공 전산세무 2급,공경태 외,박문각,29000,26100
576,예제가 가득한 제미나이 길라잡이,이승우,정보문화사,16800,15120
577,AI 교양 수업,최윤철,생능북스,18500,16650
578,AI를 지배하라,채수완,청람,22000,22000
579,코지마 히데오의 게임론,브라이언 히카리 하츠하임 외,AK TRVIA BOOK,21800,19620
580,2026 시대에듀 최신 출제유형이 적용된 전산회계운용사 3급 실기,박명희,시대고시기획,18000,16200
581,AI에 대한 인권의 역습,노호창,커뮤니케이션북스,12000,12000
582,맛있는 디자인 프리미어 프로 CC 2026,심수진 외,한빛미디어,27000,24300
583,30일 완성 제미나이 업무 혁명,AI싱크클럽(이재만),루비페이퍼,26000,23400
584,클라우드 애플리케이션 아키텍처 패턴,카일 브라운 외,한빛미디어,46000,41400
585,Do it! 깡샘의 안드로이드 앱 프로그래밍 with 코틀린,강성윤,이지스퍼블리싱,42000,37800
586,능력치 만렙 SRE,제레미 프로핏 외,에이콘출판,40000,36000
587,할 수 있다! 캔바로 콘텐츠 디자인하기,설시내,시대인,12000,10800
588,AI와 의학 교육,안지현 외,커뮤니케이션북스,12000,12000
589,맛있는 디자인 일러스트레이터 CC 2026,빨간고래(박정아),한빛미디어,27000,24300
590,가상 면접 사례로 배우는 생성형 AI 서비스 설계,알리 아미니안 외,인사이트,34000,30600
591,코어 프런트엔드 UI,정재남,위키북스,38000,34200
592,처음이지만 프로처럼 쓰는 캔바(Canva),정다은(시재),디지털북스,30000,27000
593,레트로의 유니티 성능 최적화,이제민,한빛미디어,35000,31500
594,최대리 전산세무2급: 실기+필기,최남규,최대리,30000,27000
595,실전 위협 탐지 엔지니어링,메건 로디 외,에이콘출판,36000,32400
596,2026 시나공 정보처리산업기사 실기 기본서,길벗알앤디 외,길벗,33000,29700
597,나노바나나로 AI툰 제작하기,김한재,비엘북스,32000,28800
598,MOS 365 Excel Expert,김경희 외,시대인,15000,13500
599,에지 컴퓨팅과 피지컬 AI를 위한 라즈베리파이 5,허경용,제이펍,30000,27000
600,"5분 제미나이: 기획서는 더 빠르게, 앱 개발은 더 쉽게, 콘텐츠는 더 완벽하게",감자나라ai(오종현),한빛미디어,24000,21600
601,발자취 ITQ 한글2022,수험서개발팀,마린북스,16000,14400
602,최신 정보교과교육론,최현종 외,한빛아카데미,32000,32000
603,생성형 AI 완전 정복,정재민 외,길벗,33000,29700
604,인과 데이터 사이언스,이석민,법문사,30000,30000
605,2026 로그인 전산세무 1급 기출문제집,김영철,어울림,20000,18000
606,대체불가능,파스칼 보넷 외,제이펍,22000,19800
607,프리미어 프로 + 애프터 이펙트 CC 2026 무작정 따라하기,전은재 외,길벗,27000,24300
608,AI 게임 개발 with 코덱스,정윤지,한빛미디어,32000,28800
609,2026 POINT 전산세무 2급 이론 + 실기 + 기출문제,이성노,경영과회계,30000,27000
610,Do it! Vue.js+Nuxt 입문,박성재,이지스퍼블리싱,29000,26100
611,출근길에 읽고 퇴근길에 완성하는 바이브 코딩,노승헌,더 타이즈,22000,19800
612,데이터 엔지니어링 디자인 패턴,바르토시 코니에치니 외,한빛미디어,35000,31500
613,AI 프로젝트 100% 성공을 위한 체크리스트 17,유진호 외,책만,28000,25200
614,AI 에이전트 마스터 클래스,김구현,한빛미디어,26000,23400
615,멘토시리즈 MOS 365 워드,코리아교육그룹 교육연구소,코리아교육그룹,17000,15300
616,멘토시리즈 MOS 365 엑셀,코리아교육그룹 교육연구소,코리아교육그룹,17000,15300
617,2026 선넘는 컴퓨터활용능력 2급 필기+실기,김쌤(김경화),쏠티북스,29000,26100
